Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.1102E-16,1.3878E-17,-0.04,0,0,0,12.828,0.050107,5.2948E-17,-2.1119E-18,0.68667,-7.2492E-19,0.72312,0,0,0,0,0,0,package://trial5_assembly/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/base_link.STL,,body_part-1,Coordinate System26,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
flt,0.14161,0.0014477,0.030036,0,0,0,1.545,0.0012714,-0.00041074,-1.0645E-05,0.015623,6.4684E-07,0.015912,0,0,0,0,0,0,package://trial5_assembly/meshes/flt.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/flt.STL,,upper_leg-1,Origin_fltj2,Axis_fltj2,fltj,continuous,0.3,0.13,-0.04,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
flk,-0.089186,-0.14524,0.030497,0,0,0,0.47535,0.0062928,-0.0034406,1.8821E-05,0.00215,4.1847E-05,0.0082896,0,0,0,0,0,0,package://trial5_assembly/meshes/flk.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/flk.STL,,bottom_L_leg_for_wheel-1,Origin_flkj2,Axis_flkj2,flkj,continuous,0.35615,-0.019942,0,0,0,0,flt,0,0,1,,,,,,,,,,,,
flw,5.5511E-17,5.5511E-17,0.025,0,0,0,0.2474,0.00015205,-3.7494E-40,-9.1833E-37,0.00015205,-4.9327E-37,0.00020101,0,0,0,0,0,0,package://trial5_assembly/meshes/flw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/flw.STL,,wheel-6,Origin_flwj2,Axis_flwj2,flwj,continuous,-0.16905,-0.32271,0.06,0,0,0,flk,0,0,1,,,,,,,,,,,,
frt,0.14161,0.0014477,-0.029964,0,0,0,1.545,0.0012714,-0.00041074,-1.0645E-05,0.015623,6.4684E-07,0.015912,0,0,0,0,0,0,package://trial5_assembly/meshes/frt.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/frt.STL,,upper_leg-3,Origin_frtj2,Axis_frtj2,frtj,continuous,0.3,-0.13,-0.04,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
frk,-0.089189,-0.14525,-0.030495,0,0,0,0.47546,0.0062935,-0.0034404,-1.8805E-05,0.0021499,-4.1809E-05,0.0082902,0,0,0,0,0,0,package://trial5_assembly/meshes/frk.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/frk.STL,,bottom_R_leg_for_wheel-1,Origin_frkj2,Axis_frkj2,frkj,continuous,0.35615,-0.019942,0,0,0,0,frt,0,0,1,,,,,,,,,,,,
frw,5.5511E-17,5.5511E-17,-0.025,0,0,0,0.2474,0.00015205,-3.7494E-40,-8.8233E-23,0.00015205,-4.9327E-37,0.00020101,0,0,0,0,0,0,package://trial5_assembly/meshes/frw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/frw.STL,,wheel-4,Origin_frwj2,Axis_frwj2,frwj,continuous,-0.16905,-0.32271,-0.06,0,0,0,frk,0,0,1,,,,,,,,,,,,
blt,0.14161,0.0014477,0.030036,0,0,0,1.545,0.0012714,-0.00041074,-1.0645E-05,0.015623,6.4684E-07,0.015912,0,0,0,0,0,0,package://trial5_assembly/meshes/blt.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/blt.STL,,upper_leg-2,Origin_bltj2,Axis_bltj2,bltj,continuous,-0.3,0.13,-0.04,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
blk,-0.089186,-0.14524,0.030497,0,0,0,0.47535,0.0062928,-0.0034406,1.8821E-05,0.00215,4.1847E-05,0.0082896,0,0,0,0,0,0,package://trial5_assembly/meshes/blk.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/blk.STL,,bottom_L_leg_for_wheel-2,Origin_blkj2,Axis_blkj2,blkj,continuous,0.35615,-0.019942,0,0,0,0,blt,0,0,1,,,,,,,,,,,,
blw,0,0,0.025,0,0,0,0.2474,0.00015205,-3.7494E-40,1.1479E-39,0.00015205,-4.9327E-37,0.00020101,0,0,0,0,0,0,package://trial5_assembly/meshes/blw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/blw.STL,,wheel-7,Origin_blwj2,Axis_blwj2,blwj,continuous,-0.16905,-0.32271,0.06,0,0,0,blk,0,0,1,,,,,,,,,,,,
brt,0.14161,0.0014477,-0.029964,0,0,0,1.545,0.0012714,-0.00041074,-1.0645E-05,0.015623,6.4684E-07,0.015912,0,0,0,0,0,0,package://trial5_assembly/meshes/brt.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/brt.STL,,upper_leg-4,Origin_brtj2,Axis_brtj2,brtj,continuous,-0.3,-0.13,-0.04,1.5708,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
brk,-0.089189,-0.14525,-0.030495,0,0,0,0.47546,0.0062935,-0.0034404,-1.8805E-05,0.0021499,-4.1809E-05,0.0082902,0,0,0,0,0,0,package://trial5_assembly/meshes/brk.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/brk.STL,,bottom_R_leg_for_wheel-2,Origin_brkj2,Axis_brkj2,brkj,continuous,0.35615,-0.019942,0,0,0,0,brt,0,0,1,,,,,,,,,,,,
brw,1.1102E-16,5.5511E-17,-0.025,0,0,0,0.2474,0.00015205,-3.7494E-40,8.8233E-23,0.00015205,-4.9327E-37,0.00020101,0,0,0,0,0,0,package://trial5_assembly/meshes/brw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://trial5_assembly/meshes/brw.STL,,wheel-5,Origin_brwj2,Axis_brwj2,brwj,continuous,-0.16905,-0.32271,-0.06,0,0,0,brk,0,0,1,,,,,,,,,,,,
